driver,race,race_1,race_2,race_3,race_4,last_year_tot,last_year_avg,last_year_std,same_race_last_year,score,year
 Carlos Sainz Jr.,SIN,0.0,1.0,9.0,0.0,7.0,0.30434782608695654,1.4596008983995226,0.0,15,2017
 Carlos Sainz Jr.,MAL,15.0,0.0,1.0,9.0,7.0,0.30434782608695654,1.4596008983995226,,0,2017
 Carlos Sainz Jr.,JPN,0.0,15.0,0.0,1.0,7.0,0.30434782608695654,1.4596008983995226,0.0,0,2017
 Carlos Sainz Jr.,USA,0.0,0.0,15.0,0.0,7.0,0.30434782608695654,1.4596008983995226,0.0,9,2017
 Carlos Sainz Jr.,MEX,9.0,0.0,0.0,15.0,7.0,0.30434782608695654,1.4596008983995226,,0,2017
 Carlos Sainz Jr.,BRA,0.0,9.0,0.0,0.0,7.0,0.30434782608695654,1.4596008983995226,,0,2017
 Carlos Sainz Jr.,ABU,0.0,0.0,9.0,0.0,7.0,0.30434782608695654,1.4596008983995226,0.0,0,2017
 Nico Hülkenberg,AUS,,,,,,,,,0,2017
 Nico Hülkenberg,CHN,0.0,,,,,,,,0,2017
 Nico Hülkenberg,BHR,0.0,0.0,,,,,,,5,2017
 Nico Hülkenberg,RUS,5.0,0.0,0.0,,,,,,7,2017
 Nico Hülkenberg,ESP,7.0,5.0,0.0,0.0,,,,,11,2017
 Nico Hülkenberg,MON,11.0,7.0,5.0,0.0,,,,,0,2017
 Nico Hülkenberg,CAN,0.0,11.0,7.0,5.0,,,,,7,2017
 Nico Hülkenberg,AZE,7.0,0.0,11.0,7.0,,,,,0,2017
 Nico Hülkenberg,AUT,0.0,7.0,0.0,11.0,,,,,3,2017
 Nico Hülkenberg,GBR,3.0,0.0,7.0,0.0,,,,,11,2017
 Nico Hülkenberg,HUN,11.0,3.0,0.0,7.0,,,,,0,2017
 Nico Hülkenberg,BEL,0.0,11.0,3.0,0.0,,,,,11,2017
 Nico Hülkenberg,ITA,11.0,0.0,11.0,3.0,,,,,3,2017
 Nico Hülkenberg,SIN,3.0,11.0,0.0,11.0,,,,,0,2017
 Nico Hülkenberg,MAL,0.0,3.0,11.0,0.0,,,,,3,2017
 Nico Hülkenberg,JPN,3.0,0.0,3.0,11.0,,,,,0,2017
 Nico Hülkenberg,USA,0.0,3.0,0.0,3.0,,,,,0,2017
 Nico Hülkenberg,MEX,0.0,0.0,3.0,0.0,,,,,0,2017
 Nico Hülkenberg,BRA,0.0,0.0,0.0,3.0,,,,,4,2017
 Nico Hülkenberg,ABU,4.0,0.0,0.0,0.0,,,,,11,2017
 Felipe Massa,AUS,,,,,,,,,11,2017
 Felipe Massa,CHN,11.0,,,,,,,,3,2017
 Felipe Massa,BHR,3.0,11.0,,,,,,,11,2017
 Felipe Massa,RUS,11.0,3.0,11.0,,,,,,5,2017
 Felipe Massa,ESP,5.0,11.0,3.0,11.0,,,,,3,2017
 Felipe Massa,MON,3.0,5.0,11.0,3.0,,,,,5,2017
 Felipe Massa,CAN,5.0,3.0,5.0,11.0,,,,,0,2017
 Felipe Massa,AZE,0.0,5.0,3.0,5.0,,,,,0,2017
